Pokemon,Number,Type1,Type2,Ability1,Ability2,Ability3,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Sprite
Chikorita,152,GRASS,none,Overgrow,Leaf Guard,none,45,49,65,49,65,45,https://play.pokemonshowdown.com/sprites/bw/chikorita.png
Bayleef,153,GRASS,none,Overgrow,Leaf Guard,none,60,62,80,63,80,60,https://play.pokemonshowdown.com/sprites/bw/bayleef.png
Meganium,154,GRASS,none,Overgrow,Leaf Guard,none,80,82,100,83,100,80,https://play.pokemonshowdown.com/sprites/bw/meganium.png
Cyndaquil,155,FIRE,none,Blaze,Flash Fire,none,39,52,43,60,50,65,https://play.pokemonshowdown.com/sprites/bw/cyndaquil.png
Quilava,156,FIRE,none,Blaze,Flash Fire,none,58,64,58,80,65,80,https://play.pokemonshowdown.com/sprites/bw/quilava.png
Typhlosion,157,FIRE,none,Blaze,Flash Fire,none,78,84,78,109,85,100,https://play.pokemonshowdown.com/sprites/bw/typhlosion.png
Totodile,158,WATER,none,Torrent,Sheer Force,none,50,65,64,44,48,43,https://play.pokemonshowdown.com/sprites/bw/totodile.png
Croconaw,159,WATER,none,Torrent,Sheer Force,none,65,80,80,59,63,58,https://play.pokemonshowdown.com/sprites/bw/croconaw.png
Feraligatr,160,WATER,none,Torrent,Sheer Force,none,85,105,100,79,83,78,https://play.pokemonshowdown.com/sprites/bw/feraligatr.png
Sentret,161,NORMAL,none,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,https://play.pokemonshowdown.com/sprites/bw/sentret.png
Furret,162,NORMAL,none,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,https://play.pokemonshowdown.com/sprites/bw/furret.png
Hoothoot,163,NORMAL,FLYING,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,https://play.pokemonshowdown.com/sprites/bw/hoothoot.png
Noctowl,164,NORMAL,FLYING,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,https://play.pokemonshowdown.com/sprites/bw/noctowl.png
Ledyba,165,BUG,FLYING,Swarm,Early Bird,Rattled,40,20,30,40,80,55,https://play.pokemonshowdown.com/sprites/bw/ledyba.png
Ledian,166,BUG,FLYING,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,https://play.pokemonshowdown.com/sprites/bw/ledian.png
Spinarak,167,BUG,POISON,Swarm,Insomnia,Sniper,40,60,40,40,40,30,https://play.pokemonshowdown.com/sprites/bw/spinarak.png
Ariados,168,BUG,POISON,Swarm,Insomnia,Sniper,70,90,70,60,70,40,https://play.pokemonshowdown.com/sprites/bw/ariados.png
Crobat,169,POISON,FLYING,Inner Focus,Infiltrator,none,85,90,80,70,80,130,https://play.pokemonshowdown.com/sprites/bw/crobat.png
Chinchou,170,WATER,ELECTRIC,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,https://play.pokemonshowdown.com/sprites/bw/chinchou.png
Lanturn,171,WATER,ELECTRIC,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,https://play.pokemonshowdown.com/sprites/bw/lanturn.png
Pichu,172,ELECTRIC,none,Static,Lightning Rod,none,20,40,15,35,35,60,https://play.pokemonshowdown.com/sprites/bw/pichu.png
Cleffa,173,FAIRY,none,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,https://play.pokemonshowdown.com/sprites/bw/cleffa.png
Igglybuff,174,NORMAL,FAIRY,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,https://play.pokemonshowdown.com/sprites/bw/igglybuff.png
