Pokemon, Number, Type1, Type2, Ability1, Ability2, Ability3, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, Sprite
Treecko,252,GRASS,none,Overgrow,Unburden,none,40,45,35,65,55,70,https://play.pokemonshowdown.com/sprites/bw/treecko.png
Grovyle,253,GRASS,none,Overgrow,Unburden,none,50,65,45,85,65,95,https://play.pokemonshowdown.com/sprites/bw/grovyle.png
Sceptile,254,GRASS,none,Overgrow,Unburden,none,70,85,65,105,85,120,https://play.pokemonshowdown.com/sprites/bw/sceptile.png
Torchic,255,FIRE,none,Blaze,Speed Boost,none,45,60,40,70,50,45,https://play.pokemonshowdown.com/sprites/bw/torchic.png
Combusken,256,FIRE,FIGHTING,Blaze,Speed Boost,none,60,85,60,85,60,55,https://play.pokemonshowdown.com/sprites/bw/combusken.png
Blaziken,257,FIRE,FIGHTING,Blaze,Speed Boost,none,80,120,70,110,70,80,https://play.pokemonshowdown.com/sprites/bw/blaziken.png
Mudkip,258,WATER,none,Torrent,Damp,none,50,70,50,50,50,40,https://play.pokemonshowdown.com/sprites/bw/mudkip.png
Marshtomp,259,WATER,GROUND,Torrent,Damp,none,70,85,70,60,70,50,https://play.pokemonshowdown.com/sprites/bw/marshtomp.png
Swampert,260,WATER,GROUND,Torrent,Damp,none,100,110,90,85,90,60,https://play.pokemonshowdown.com/sprites/bw/swampert.png
Poochyena,261,DARK,none,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,https://play.pokemonshowdown.com/sprites/bw/poochyena.png
Mightyena,262,DARK,none,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,https://play.pokemonshowdown.com/sprites/bw/mightyena.png
Zigzagoon,263,NORMAL,none,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,https://play.pokemonshowdown.com/sprites/bw/zigzagoon.png
Linoone,264,NORMAL,none,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,https://play.pokemonshowdown.com/sprites/bw/linoone.png
Wurmple,265,BUG,none,Shield Dust,Run Away,none,45,45,35,20,30,20,https://play.pokemonshowdown.com/sprites/bw/wurmple.png
Silcoon,266,BUG,none,Shed Skin,none,none,50,35,55,25,25,15,https://play.pokemonshowdown.com/sprites/bw/silcoon.png
Beautifly,267,BUG,FLYING,Swarm,Rivalry,none,60,70,50,100,50,65,https://play.pokemonshowdown.com/sprites/bw/beautifly.png
Cascoon,268,BUG,none,Shed Skin,none,none,50,35,55,25,25,15,https://play.pokemonshowdown.com/sprites/bw/cascoon.png
Dustox,269,BUG,POISON,Shield Dust,Compound Eyes,none,60,50,70,50,90,65,https://play.pokemonshowdown.com/sprites/bw/dustox.png
Lotad,270,WATER,GRASS,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,https://play.pokemonshowdown.com/sprites/bw/lotad.png
Lombre,271,WATER,GRASS,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,https://play.pokemonshowdown.com/sprites/bw/lombre.png
Ludicolo,272,WATER,GRASS,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,https://play.pokemonshowdown.com/sprites/bw/ludicolo.png
Seedot,273,GRASS,none,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,https://play.pokemonshowdown.com/sprites/bw/seedot.png
